fold,recovery_days,tradable_days,benchmark_return_sum,avg_forward_5d_return,avg_forward_20d_return,positive_forward_20d_ratio,avg_ret20,avg_ret60,avg_drawdown,avg_vol_ratio,avg_live_exposure,avg_target_exposure,avg_industry_l1_gap_norm,avg_max_abs_norm_active,tradable_ratio_of_recovery
2,56,28,-0.04154940108320859,-0.004239651024236955,-0.026566069233771084,0.125,0.03681497273263073,0.07935476174072396,-0.2794695803910263,0.7093141277865512,0.3857142857142857,0.4071428571428571,0.38608329614609954,0.052765450213812605,0.5
3,22,6,0.014722243544218604,-0.0031171420672885058,-0.023788300934250533,0.0,0.043736570929457354,0.05569265631215802,-0.3619685208966372,0.8480845896857389,0.18863636363636357,0.21363636363636357,0.3760954834750923,0.049160247536840326,0.2727272727272727
4,49,8,-0.022056647411326603,-0.00221578950424117,-0.012705762267582634,0.32653061224489793,0.014531477382604482,0.11106799814597423,-0.3634875086039595,0.9194385668469618,0.2979344202294185,0.30915891002533685,0.3745254731376433,0.04333225961175719,0.16326530612244897
5,46,36,0.1432208080137364,0.014383207137244267,0.04992008178332094,0.9782608695652174,0.04569738371698411,0.09336718065026067,-0.17726067628289005,0.5929939159897278,0.46326157300071136,0.47413113821810265,0.3796558863516804,0.058886072937682235,0.782608695652174
